City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,yellowknife,62.456,-114.3525,-37.68,67,40,5.75,CA,1704937167
163,mount gambier,-37.8333,140.7667,73.72,46,3,8.37,AU,1704937247
164,darnah,32.767,22.6367,56.68,63,85,11.25,LY,1704937248
165,colonia,50.9333,6.95,27.86,93,0,1.14,DE,1704937233
166,kabinda,-6.1333,24.4833,66.33,95,100,2.82,CD,1704937249
167,cabo san lucas,22.8909,-109.9124,68.76,51,75,8.05,MX,1704936952
168,vanersborg,58.3807,12.3234,21.9,85,28,4.61,SE,1704937250
169,shenjiamen,29.9576,122.298,43.23,55,7,2.73,CN,1704937251
170,noumea,-22.2763,166.4572,93.18,91,29,6.87,NC,1704937251
171,jiuquan,39.7432,98.5174,30.09,20,7,3.2,CN,1704937252
172,hadibu,12.65,54.0333,73.8,83,70,11.88,YE,1704937252
173,thompson,55.7435,-97.8558,-12.84,70,100,8.05,CA,1704937196
174,bikenibeu village,1.3673,173.1241,84.16,89,40,8.05,KI,1704937253
175,zaragoza,41.6561,-0.8773,42.03,73,0,19.57,ES,1704937254
176,lloren,16.3331,120.4329,83.16,56,13,5.61,PH,1704937254
177,portland,45.5234,-122.6762,42.78,92,100,7.0,US,1704937177
178,fada,9.5667,8.3,63.99,11,0,6.13,NG,1704937256
179,isla mujeres,21.2311,-86.731,73.45,82,98,9.06,MX,1704937256
180,robore,-18.3333,-59.75,80.47,71,8,5.73,BO,1704937256
181,oranjemund,-28.55,16.4333,63.68,85,100,6.76,NA,1704937257
182,bakaly,55.1789,53.8028,-14.35,99,88,9.48,RU,1704937258
183,tiksi,71.6872,128.8694,-26.73,94,100,12.1,RU,1704937258
184,mao,39.8885,4.2658,48.76,100,75,5.75,ES,1704937259
185,peace river,56.2501,-117.286,-16.29,69,100,3.44,CA,1704937244
186,loukhi,66.0764,33.0381,15.35,82,95,14.72,RU,1704937260
187,alice springs,-23.7,133.8833,96.35,21,3,15.43,AU,1704937261
188,lata,40.1629,-8.3327,50.92,98,86,2.42,PT,1704937261
189,alenquer,-1.9417,-54.7383,77.99,80,95,5.32,BR,1704937262
190,sao joao da barra,-21.6403,-41.0511,77.0,86,100,19.57,BR,1704937263
191,hawaiian paradise park,19.5933,-154.9731,78.73,90,100,6.91,US,1704937264
192,zaozersk,69.4005,32.4476,21.63,70,100,17.6,RU,1704937265
193,nuku'alofa,-21.1333,-175.2,88.14,74,40,17.27,TO,1704937266
194,bredasdorp,-34.5322,20.0403,64.99,84,93,7.16,ZA,1704937266
195,bridlington,54.0831,-0.1919,41.52,72,100,12.88,GB,1704937012
196,kargil,34.5667,76.1,15.03,36,18,1.68,IN,1704937268
197,guerrero negro,27.9769,-114.0611,60.96,72,9,15.68,MX,1704937268
198,sabha,27.0377,14.4283,50.65,31,95,7.83,LY,1704937269
199,aldinga beach,-35.2793,138.4604,88.27,38,0,5.77,AU,1704937270
200,mhamid,29.82,-5.72,54.41,27,0,3.78,MA,1704937270
201,port macquarie,-31.4333,152.9167,85.89,66,2,10.98,AU,1704937271
202,ninotsminda,41.2646,43.5916,15.76,97,91,2.68,GE,1704937272
203,kodiak,57.79,-152.4072,35.11,75,100,3.44,US,1704937273
204,rawdon,46.0501,-73.7159,33.75,93,92,11.41,CA,1704937023
205,yashkul',46.1711,45.3435,15.87,82,99,7.11,RU,1704937274
206,pemba,-12.974,40.5178,78.53,86,100,8.3,MZ,1704937274
207,cidreira,-30.1811,-50.2056,74.89,90,100,4.61,BR,1704937275
208,la sarre,48.8002,-79.1996,8.74,91,100,11.36,CA,1704937059
209,nemuro,43.3236,145.575,22.08,53,2,7.87,JP,1704937276
210,mount pearl,47.5166,-52.7813,24.96,83,100,13.8,CA,1704937277
211,abilene,32.4487,-99.7331,54.93,34,0,8.05,US,1704937277
212,hilo,19.7297,-155.09,78.94,91,100,6.91,US,1704937278
213,barah,13.7,30.3667,68.25,39,0,11.12,SD,1704937279
214,malanville,11.8685,3.3899,69.64,13,3,7.07,BJ,1704937279
215,rancho palos verdes,33.7445,-118.387,58.23,76,0,7.0,US,1704937166
216,sinan,34.8262,126.1086,32.11,64,6,10.71,KR,1704937281
217,selfoss,63.9331,-20.9971,43.84,79,99,14.65,IS,1704937281
218,san juan,-31.5375,-68.5364,77.76,62,14,16.71,AR,1704937282
219,lebu,-37.6167,-73.65,55.54,86,0,18.14,CL,1704937284
220,kayangel,8.0823,134.7173,82.99,79,13,14.36,PW,1704937285
221,st. john's,47.5649,-52.7093,25.79,83,100,13.8,CA,1704937285
222,horta,38.5333,-28.6333,61.02,92,60,30.0,PT,1704937286
223,la passe,45.5549,-0.8967,34.03,80,83,7.94,FR,1704937286
224,knysna,-34.0363,23.0471,66.65,96,95,4.59,ZA,1704937287
225,viedma,-40.8135,-62.9967,58.41,55,0,13.76,AR,1704937288
226,ancud,-41.8697,-73.8203,52.95,84,0,4.56,CL,1704937288
227,lagos,6.5833,3.75,78.08,91,100,3.36,NG,1704937093
228,niquero,20.0431,-77.5828,78.55,77,100,12.39,CU,1704937290
229,amos,48.5669,-78.1162,10.8,92,100,10.16,CA,1704937290
230,bannu,32.9854,70.6027,50.02,27,3,1.9,PK,1704937291
231,bhinmal,25.0,72.25,51.94,38,25,8.37,IN,1704937292
